date,value
2020-01-01,107.52358539877216
2020-01-02,110.35169474251596
2020-01-03,121.53416743046827
2020-01-04,115.6657860567142
2020-01-05,90.25601034427027
2020-01-06,86.29372691800276
2020-01-07,94.91583747066525
2020-01-08,101.15122097578275
2020-01-09,111.07681626008298
2020-01-10,108.28658025935754
2020-01-11,109.61111354071733
2020-01-12,97.97584184627266
2020-01-13,87.3859391317655
2020-01-14,94.68272993545844
2020-01-15,100.67918742264688
2020-01-16,103.59679367068888
2020-01-17,112.48603333737952
2020-01-18,100.0437010742973
2020-01-19,99.74507850546244
2020-01-20,89.75073757501941
2020-01-21,92.7087479866423
2020-01-22,101.0570397854148
2020-01-23,121.484055056764
2020-01-24,118.4709515485265
2020-01-25,112.1371128376268
2020-01-26,103.55152437062937
2020-01-27,102.79674349191845
2020-01-28,105.4196452503334
2020-01-29,115.96598843541447
2020-01-30,126.1267729203368
2020-01-31,137.42992934151164
2020-02-01,118.36672366256715
2020-02-02,107.33751438146318
2020-02-03,99.0109154089036
2020-02-04,107.93826687118872
2020-02-05,119.17117725307813
2020-02-06,121.49341013676458
2020-02-07,119.25334288984735
2020-02-08,111.88559943992003
2020-02-09,107.92158041173381
2020-02-10,101.04721109780527
2020-02-11,101.64983698142565
2020-02-12,104.44992844467525
2020-02-13,117.99384248616201
2020-02-14,119.64676109424964
2020-02-15,113.83388243952194
2020-02-16,107.11623988209284
2020-02-17,98.07290839770059
2020-02-18,103.59457828505732
2020-02-19,111.05995381455443
2020-02-20,122.86516876802867
2020-02-21,128.33981997378655
2020-02-22,112.93275273488729
2020-02-23,109.76205945246889
2020-02-24,104.04370525236321
2020-02-25,106.96498635262556
2020-02-26,
2020-02-27,138.85364345489515
2020-02-28,130.29486113612768
2020-02-29,133.66124314902657
2020-03-01,110.42415905446526
2020-03-02,110.84119016994622
2020-03-03,115.55967682311764
2020-03-04,126.73258204409868
2020-03-05,136.20101462748565
2020-03-06,138.21474330263263
2020-03-07,125.16670553456859
2020-03-08,113.25918288672204
2020-03-09,112.41470150004682
2020-03-10,108.559278318974
2020-03-11,111.67419996225773
2020-03-12,121.05414154009242
2020-03-13,123.90190688827
2020-03-14,124.16602306186914
2020-03-15,111.89227730428368
2020-03-16,108.3096828016006
2020-03-17,105.47001623144097
2020-03-18,118.46932044637012
2020-03-19,131.1144744097447
2020-03-20,129.89701710566814
2020-03-21,128.55063143313762
2020-03-22,113.99056571464557
2020-03-23,110.52007917672518
2020-03-24,114.29890953503556
2020-03-25,121.13806163304129
2020-03-26,140.3807499679804
2020-03-27,139.23156853745672
2020-03-28,136.28859096313352
2020-03-29,129.14456658450848
2020-03-30,123.16932383160373
2020-03-31,127.01261692817987
2020-04-01,132.74487923448717
2020-04-02,140.415931907582
2020-04-03,144.12457066992965
2020-04-04,129.05539302950305
2020-04-05,119.12926133990238
2020-04-06,112.41364940942361
2020-04-07,115.43189118280915
2020-04-08,130.8453845645375
2020-04-09,132.77491663679197
2020-04-10,136.88351014590972
2020-04-11,138.0639025698119
2020-04-12,118.83466503835582
2020-04-13,117.48461375932052
2020-04-14,111.35924369465329
2020-04-15,124.55175957908293
2020-04-16,130.6426811587809
2020-04-17,136.70314794864302
2020-04-18,137.03524659796682
2020-04-19,114.92396426369254
2020-04-20,120.5556900384647
2020-04-21,123.3360569024119
2020-04-22,130.08628996822586
2020-04-23,136.76382170329495
2020-04-24,148.1995987367152
2020-04-25,140.14560748950518
2020-04-26,134.85877787062878
2020-04-27,128.45219767249705
2020-04-28,139.59691121735506
2020-04-29,140.46158115124808
2020-04-30,146.35471589041668
2020-05-01,154.8553761689753
2020-05-02,148.47959035843346
2020-05-03,143.4359161760488
2020-05-04,133.78443800425094
2020-05-05,132.99636246853714
2020-05-06,147.0653532644527
2020-05-07,142.26082201941256
2020-05-08,146.369447104331
2020-05-09,137.51661567733652
2020-05-10,128.9420904757128
2020-05-11,116.80114691848492
2020-05-12,128.6389230985067
2020-05-13,133.40761376865058
2020-05-14,136.45981259239943
2020-05-15,141.2227432995427
2020-05-16,141.8075441413565
2020-05-17,134.70576274300257
2020-05-18,134.9341769445236
2020-05-19,142.97706218046253
2020-05-20,141.17731032427466
2020-05-21,144.98620026080124
2020-05-22,143.11849968021266
2020-05-23,150.17985175772827
2020-05-24,135.89106229697913
2020-05-25,132.8331013093107
2020-05-26,135.4820962893278
2020-05-27,148.36067384995727
2020-05-28,164.70442988489887
2020-05-29,163.16529346299944
2020-05-30,155.5262126391047
2020-05-31,140.89754580544954
2020-06-01,131.12300879043767
2020-06-02,139.05562222525154
2020-06-03,150.06166035774586
2020-06-04,167.83816871089925
2020-06-05,161.12190275287875
2020-06-06,157.965518316914
2020-06-07,139.18854335076873
2020-06-08,128.34159312766377
2020-06-09,130.91273915110148
2020-06-10,140.7801386707469
2020-06-11,163.89202899682056
2020-06-12,151.1334851951819
2020-06-13,152.85347355436636
2020-06-14,133.90281939053025
2020-06-15,137.01465654386166
2020-06-16,137.28706820483183
2020-06-17,144.88902433493348
2020-06-18,155.99044918995887
2020-06-19,156.55301601790708
2020-06-20,157.0114353391428
2020-06-21,143.62063025755018
2020-06-22,134.83008220255772
2020-06-23,138.41326337270425
2020-06-24,156.49451853597864
2020-06-25,174.22454853688907
2020-06-26,170.58627768706563
2020-06-27,163.62852057118295
2020-06-28,
2020-06-29,154.96621210821692
2020-06-30,152.01991054716956
2020-07-01,158.16347869694982
2020-07-02,174.8051172911279
2020-07-03,173.19604664130478
2020-07-04,171.5244825737517
2020-07-05,153.5035189070089
2020-07-06,139.04629217858093
2020-07-07,139.69140881800797
2020-07-08,163.2426429580646
2020-07-09,172.14316353639003
2020-07-10,164.23036426417212
2020-07-11,156.18092719973677
2020-07-12,154.66445662789974
2020-07-13,135.24261570085204
2020-07-14,138.79100365695768
2020-07-15,156.29511679009494
2020-07-16,161.17579973021458
2020-07-17,166.36829582678294
2020-07-18,160.22423079878536
2020-07-19,153.63164381443366
2020-07-20,153.93530021368593
2020-07-21,151.1956556645346
2020-07-22,164.89949632493756
2020-07-23,162.33860270935747
2020-07-24,176.10967827487718
2020-07-25,166.9601243741448
2020-07-26,155.8090708924655
2020-07-27,151.94776694247355
2020-07-28,157.67343346842537
2020-07-29,173.73740744862226
2020-07-30,172.07754642186273
2020-07-31,181.0929636512502
2020-08-01,171.70001004493247
2020-08-02,161.53071555257196
2020-08-03,160.9763083156795
2020-08-04,160.1251073766905
2020-08-05,172.57731921155633
2020-08-06,173.5461883881969
2020-08-07,172.229981575714
2020-08-08,167.25272431884284
2020-08-09,158.45726086232594
2020-08-10,151.09654717307004
2020-08-11,146.78247827629352
2020-08-12,161.951984356368
2020-08-13,172.1922923726416
2020-08-14,186.38754434147876
2020-08-15,177.38023187169307
2020-08-16,154.24450498297415
2020-08-17,151.72134505904688
2020-08-18,149.47374453202573
2020-08-19,164.66604717445918
2020-08-20,180.10726811818762
2020-08-21,188.4307618001538
2020-08-22,173.7912274965663
2020-08-23,165.19935465957363
2020-08-24,152.55664715230057
2020-08-25,165.93699006263046
2020-08-26,171.74814805497857
2020-08-27,184.4833655053089
2020-08-28,185.49528218316357
2020-08-29,183.08538071006942
2020-08-30,164.26798080687973
2020-08-31,158.90244756003014
2020-09-01,178.66250005529477
2020-09-02,170.24709761994546
2020-09-03,179.73711426960773
2020-09-04,195.79658765310867
2020-09-05,193.6912361014205
2020-09-06,161.9686780653259
2020-09-07,158.64759019469008
